# Metadata file CSV - AWS (Automatic Weather Station)
# Dibuat oleh: Firly Hafiz Syahreza
# Tanggal pembuatan: 7 Januari 2025
# Deskripsi: File ini berisi data pengukuran parameter cuaca dari Automatic Weather Station (AWS) di lokasi pengamatan.
# Sumber data: Logsheet Excel yang telah dikonversi ke format CSV.
# Lokasi: Pulau Pramuka, Kepulauan Seribu
# Periode pengamatan: 14 Juli 2024 - 22 Juli 2024
# Format waktu: Waktu lokal (WIB)
# Penjelasan kolom:
# - Tahun: Tahun pengamatan.
# - Bulan: Bulan pengamatan.
# - Tanggal: Tanggal pengamatan.
# - Waktu: Waktu pengamatan (format HH:MM:SS).
# - Keceptan Angin (m/s): Kecepatan angin dalam m/s.
# - Arah angin (°): Arah angin dalam derajat.
# - Temperatur (°C) In: Suhu udara dalam derajat Celsius.
# - Temperatur (°C) Out: Suhu udara dalam derajat Celsius.
# - Kelembapan (%) In: Kelembapan udara dalam persen.
# - Kelembapan (%) Out: Kelembapan udara dalam persen.
# - Curah Hujan: Curah hujan dalam mm.
# - Tekanan (hpa): Tekanan udara dalam hPa (hektopascal).
Tahun,Bulan,Tanggal,Waktu,Kecepatan Angin (m/s),Arah angin (⁰),Temperatur(℃) In,Temperatur(℃) Out,Kelembapan (%) In,Kelembapan (%) Out,Curah Hujan,Tekanan (hpa)
2024,7,15,16.00.00,1.8,34.5,33,30,60,62,0.0,756.4
2024,7,15,16.15.00,1.55,34.0,33,30,60,59.5,0.0,756.45
2024,7,15,16.30.00,0.8500000000000001,73.5,33,30,60,62,0.0,756.5
2024,7,15,16.45.00,1.1,53.0,32,30,60,60,0.0,756.45
2024,7,15,17.00.00,0.65,37.0,32,30,60,64.5,0.0,756.7
2024,7,15,17.15.00,0.45,39.0,31,29.5,60,61,0.0,756.4
2024,7,15,17.30.00,0.2,39.0,30,29,61,62.5,0.0,756.9
2024,7,15,17.45.00,0,39.0,30,29,61,63,0.0,756.8
2024,7,15,18.00.00,0.4,39.0,30,29,61,65,0.0,756.9
2024,7,15,18.15.00,0.4,39.0,29,29,62,64,0.0,756.9
2024,7,15,18.30.00,0.4,39.0,29,29,62,64,0.0,757.05
2024,7,15,18.45.00,0.2,39.0,29,29,62,65,0.0,757.3
2024,7,15,19.00.00,0,39.0,28,29,62.5,66,0.0,757.4
2024,7,15,19.15.00,0,39.0,28,28,63,67.5,0.0,757.6
2024,7,15,19.30.00,0,39.0,28,28,63,68,0.0,757.8
2024,7,15,19.45.00,0,39.0,28,28,63,67,0.0,757.9
2024,7,15,20.00.00,0,39.0,28,28,63,68,0.0,758.2
2024,7,15,20.15.00,0,39.0,28,28,64,66,0.0,758.2
2024,7,15,20.30.00,0,39.0,28,28,64,66,0.0,758.3
2024,7,15,20.45.00,0,39.0,28,28,64,67,0.0,758.3
2024,7,15,21.00.00,0,39.0,28,28,64,68.5,0.0,758.5
2024,7,15,21.15.00,0,39.0,27,28,64,69,0.0,758.6
2024,7,15,21.30.00,0,39.0,28,28,64,70,0.0,758.6
2024,7,15,21.45.00,0.4,39.0,27,28,64.5,70,0.0,758.8
2024,7,15,22.00.00,0,39.0,28,28,65,70.5,0.0,758.6
2024,7,15,22.15.00,0,39.0,27,29,65,70,0.0,758.7
2024,7,15,22.30.00,0.4,39.0,27,29,65,71,0.0,758.6
2024,7,15,22.45.00,0,39.0,27,29,66,72,0.0,758.7
2024,7,15,23.00.00,0,39.0,27,29,66,71,0.0,758.65
2024,7,15,23.15.00,0.4,39.0,27,29,66,71,0.0,758.65
2024,7,15,23.30.00,0.4,39.0,28,29,66,71,0.0,758.7
2024,7,15,23.45.00,0.4,31.0,28,29,66,71,0.0,758.7
2024,7,16,00.00.00,0.65,58.0,28,29,67,73,0.0,758.35
2024,7,16,00.15.00,0.4,67.0,29,29,67,74,0.0,758.6
2024,7,16,00.30.00,0.65,60.0,28.5,29,67.5,74,0.0,758.6
2024,7,16,00.45.00,0.9,91.0,28,29,68,74,0.0,758.6
2024,7,16,01.00.00,0.65,60.0,28,29,69,74,0.0,758.3
2024,7,16,01.15.00,0.4,98.0,27,28,69,74,0.0,758.3
2024,7,16,01.30.00,0.65,79.0,28,28,69,74,0.0,758.2
2024,7,16,01.45.00,0.65,64.0,28,28,69,72.5,0.0,758.1
2024,7,16,02.00.00,0.65,72.0,28,28,69,72,0.0,758.1
2024,7,16,02.15.00,0.4,70.0,28,28,71,71,0.0,758.0
2024,7,16,02.30.00,0.4,58.0,28,28,69,71,0.0,757.9
2024,7,16,02.45.00,0.9,60.0,28,28,69,69,0.0,757.8
2024,7,16,03.00.00,0.9,73.0,28,28,69,68,0.0,757.8
2024,7,16,03.15.00,0.4,70.5,28,28,69,67,0.0,757.8
2024,7,16,03.30.00,1.55,118.0,28,28,69,74.5,0.0,757.7
2024,7,16,03.45.00,1.35,108.0,28,28,69,76,0.0,757.8
2024,7,16,04.00.00,1.3,126.0,28,28,70,75,0.0,757.8
2024,7,16,04.15.00,2.45,175.5,28,28,71,80,0.0,757.9
2024,7,16,04.30.00,1.3,158.0,27.5,27.5,71,80,0.0,757.9
2024,7,16,04.45.00,1.55,167.5,27,27,72,79,0.0,758.0
2024,7,16,05.00.00,1.8,180.0,27,27,72,79.5,0.0,758.0
2024,7,16,05.15.00,1.1,185.0,27,27,72,79,0.0,763.2
2024,7,16,05.30.00,1.8,185.0,27,27,72,80,0.0,758.1
2024,7,16,05.45.00,0.65,166.0,27,27,73,80,0.0,758.1
2024,7,16,06.00.00,2,200.0,27,27,74,81,0.0,758.3
2024,7,16,06.15.00,1.55,190.0,27,27,75,81,0.0,758.4
2024,7,16,06.30.00,2,169.0,27,27,75,81,0.0,758.5
2024,7,16,06.45.00,0.65,145.0,27,27,75,81,0.0,758.8
2024,7,16,07.00.00,0.9,146.0,27,27,75,80.5,0.0,759.05
2024,7,16,07.15.00,0.85,148.5,28,27,74,79,0.0,759.1
2024,7,16,07.30.00,1.1,118.5,28,27,74,80,0.0,759.2
2024,7,16,07.45.00,1.3,116.5,28,27,74,79,0.0,759.4
2024,7,16,08.00.00,1.55,181.5,28,28,74,79,0.0,759.4
2024,7,16,08.15.00,1.8,180.0,28,28,74,78,0.0,759.4
2024,7,16,08.30.00,2.45,168.0,28,28,74,78,0.0,759.45
2024,7,16,08.45.00,1.35,159.0,28,28,74,78,0.0,759.5
2024,7,16,09.00.00,0.9,148.0,28,28,74,77,0.0,759.4
2024,7,16,09.15.00,1.8,186.5,28,28,74,78,0.0,759.4
2024,7,16,09.30.00,1.75,188.0,28,28,74,77,0.0,759.3
2024,7,16,09.45.00,2,190.5,28,28,74,76,0.0,759.3
2024,7,16,10.00.00,1.3,182.0,29,28,74,75.5,0.0,759.3
2024,7,16,10.15.00,2.2,180.0,29,28,74,75,0.0,759.1
2024,7,16,10.30.00,2.2,196.0,29,28,73,74,0.0,759.1
2024,7,16,10.45.00,2.2,180.0,29,29,72,75,0.0,758.9
2024,7,16,11.00.00,1.8,186.0,29,29,69,74,0.0,757.8
2024,7,16,11.15.00,1.8,175.0,29,29,69,71.5,0.0,757.8
